"id","full_name","first_name","last_name","is_active","team_id"
"1630173","Precious Achiuwa","Precious","Achiuwa","1","1610612764"
"203500","Steven Adams","Steven","Adams","1","1610612766"
"1628389","Bam Adebayo","Bam","Adebayo","1","1610612750"
"1630534","Ochai Agbaji","Ochai","Agbaji","1","1610612739"
"1630583","Santi Aldama","Santi","Aldama","1","1610612756"
"1629638","Nickeil Alexander-Walker","Nickeil","Alexander-Walker","1","1610612746"
"1628960","Grayson Allen","Grayson","Allen","1","1610612756"
"1628386","Jarrett Allen","Jarrett","Allen","1","1610612761"
"1630631","Jose Alvarado","Jose","Alvarado","1","1610612743"
"203937","Kyle Anderson","Kyle","Anderson","1","1610612746"
"203507","Giannis Antetokounmpo","Giannis","Antetokounmpo","1","1610612755"
"1628961","Kostas Antetokounmpo","Kostas","Antetokounmpo","1","1610612761"
"203648","Thanasis Antetokounmpo","Thanasis","Antetokounmpo","1","1610612754"
"1630175","Cole Anthony","Cole","Anthony","1","1610612758"
"1628384","O.G. Anunoby","O.G.","Anunoby","1","1610612757"
"1627853","Ryan Arcidiacono","Ryan","Arcidiacono","1","1610612764"
"1630166","Deni Avdija","Deni","Avdija","1","1610612746"
"1629028","Deandre Ayton","Deandre","Ayton","1","1610612741"
"1628962","Udoka Azubuike","Udoka","Azubuike","1","1610612748"
"1628963","Marvin Bagley III","Marvin","Bagley III","1","1610612762"
"1631116","Patrick Baldwin Jr.","Patrick","Baldwin Jr.","1","1610612761"
"1630163","LaMelo Ball","LaMelo","Ball","1","1610612749"
"1629071","LiAngelo Ball","LiAngelo","Ball","1","1610612740"
"1628366","Lonzo Ball","Lonzo","Ball","1","1610612737"
"1628964","Mo Bamba","Mo","Bamba","1","1610612748"
"1631094","Paolo Banchero","Paolo","Banchero","1","1610612752"
"1630217","Desmond Bane","Desmond","Bane","1","1610612759"
"1630625","Dalano Banton","Dalano","Banton","1","1610612739"
"1631230","Dominick Barlow","Dominick","Barlow","1","1610612754"
"203084","Harrison Barnes","Harrison","Barnes","1","1610612756"
"1630567","Scottie Barnes","Scottie","Barnes","1","1610612761"
"1629628","RJ Barrett","RJ","Barrett","1","1610612741"
"203115","Will Barton","Will","Barton","1","1610612765"
"1629646","Charles Bassey","Charles","Bassey","1","1610612738"
"1628966","Keita Bates-Diop","Keita","Bates-Diop","1","1610612743"
"201587","Nicolas Batum","Nicolas","Batum","1","1610612764"
"203145","Kent Bazemore","Kent","Bazemore","1","1610612758"
"1629647","Darius Bazley","Darius","Bazley","1","1610612758"
"203078","Bradley Beal","Bradley","Beal","1","1610612766"
"1627736","Malik Beasley","Malik","Beasley","1","1610612765"
"1630699","MarJon Beauchamp","MarJon","Beauchamp","1","1610612757"
"1631262","Jules Bernard","Jules","Bernard","1","1610612747"
"202722","Davis Bertans","Davis","Bertans","1","1610612737"
"201976","Patrick Beverley","Patrick","Beverley","1","1610612763"
"1630180","Saddiq Bey","Saddiq","Bey","1","1610612745"
"1631234","Marcus Bingham Jr.","Marcus","Bingham Jr.","1","1610612756"
"203920","Khem Birch","Khem","Birch","1","1610612759"
"1629048","Goga Bitadze","Goga","Bitadze","1","1610612761"
"202687","Bismack Biyombo","Bismack","Biyombo","1","1610612737"
"1631205","Buddy Boeheim","Buddy","Boeheim","1","1610612758"
"203992","Bogdan Bogdanovic","Bogdan","Bogdanovic","1","1610612763"
"202711","Bojan Bogdanovic","Bojan","Bogdanovic","1","1610612758"
"1629626","Bol Bol","Bol","Bol","1","1610612737"
"1629716","Marques Bolden","Marques","Bolden","1","1610612765"
"1630195","Leandro Bolmaro","Leandro","Bolmaro","1","1610612757"
"1626164","Devin Booker","Devin","Booker","1","1610612766"
"1630527","Brandon Boston","Brandon","Boston","1","1610612747"
"1628449","Chris Boucher","Chris","Boucher","1","1610612760"
